state,state_fips,fips,county,NAME,disease,season,season_start_year,outcome_per_100k,total_cases,total_cases_per_100k,peak_week_cases,peak_week_cases_per_100k,weeks_active,time_to_peak,outbreak_steepness,pct_type_a,pct_weeks_high_level,mean_admissions_per_100k,pop_density_per_sqmi,median_age,pct_elderly,avg_household_size,median_income,poverty_rate,unemployment_rate,public_transport_pct,pct_bachelors_plus,pct_non_white,pct_foreign_born,pct_checkup,pct_obesity,pct_diabetes,pct_copd,pct_chd,pct_csmoking,pop_total,land_area_sqmi,outbreak
NY,36,36083,Rensselaer County,"Rensselaer County, New York",COVID,2022-2023,2022,4857.2,,4857.160000000001,,246.99,50.0,,,,18.0,14.036,246.67,40.0,17.63,2.34,83734,11.05,5.59,2.5,24.91,17.34,5.72,78.6,34.5,10.1,6.4,6.7,12.6,160943,652.459,0
NY,36,36085,Richmond County,"Richmond County, New York",COVID,2022-2023,2022,11056.9,,11056.93,,425.08,50.0,,,,42.0,9.138,8569.18,40.3,16.59,2.86,96185,10.26,5.43,25.12,24.7,33.8,24.84,79.8,29.4,11.3,5.3,6.3,10.5,492925,57.523,1
NY,36,36087,Rockland County,"Rockland County, New York",COVID,2022-2023,2022,7004.2,,7004.21,,244.02,50.0,,,,22.0,8.751999999999999,1942.17,35.3,15.64,3.22,106173,14.88,6.22,5.62,26.25,33.04,20.69,78.4,31.4,11.6,6.3,6.6,13.1,337326,173.685,1
NY,36,36089,St. Lawrence County,"St. Lawrence County, New York",COVID,2022-2023,2022,3771.1,,3771.12,,153.15,50.0,,,,2.0,10.378,40.56,38.8,18.01,2.37,58339,15.34,6.27,0.2,15.44,7.64,3.64,78.5,35.7,11.4,8.8,7.8,17.8,108670,2679.395,0
NY,36,36091,Saratoga County,"Saratoga County, New York",COVID,2022-2023,2022,4848.5,,4848.539999999999,,209.26,50.0,,,,2.0,8.016,291.77,43.3,18.94,2.36,97038,6.45,3.54,0.66,31.37,9.74,5.55,79.0,32.6,8.9,5.5,6.5,10.5,236328,809.97,0
NY,36,36093,Schenectady County,"Schenectady County, New York",COVID,2022-2023,2022,5132.7,,5132.67,,252.42,50.0,,,,4.0,8.016,779.05,39.7,17.47,2.42,75056,11.3,5.98,3.93,23.55,28.03,10.06,80.0,34.0,10.2,6.2,6.5,12.9,159447,204.669,0
NY,36,36095,Schoharie County,"Schoharie County, New York",COVID,2022-2023,2022,3909.8,,3909.8,,154.84,50.0,,,,0.0,6.540000000000001,48.2,45.7,23.04,2.33,71479,9.69,5.29,0.38,17.91,8.84,3.09,80.2,36.7,11.7,9.4,8.6,17.8,29970,621.819,0
NY,36,36097,Schuyler County,"Schuyler County, New York",COVID,2022-2023,2022,3285.2,,3285.21,,168.47,47.0,,,,2.0,10.048,54.38,47.3,22.06,2.36,61316,15.58,5.67,0.19,18.21,5.67,1.83,79.8,37.6,12.3,9.6,8.9,19.0,17855,328.343,0
NY,36,36099,Seneca County,"Seneca County, New York",COVID,2022-2023,2022,4130.4,,4130.39,,179.33,50.0,,,,4.0,12.182000000000002,103.96,43.0,20.17,2.3,64050,12.31,4.51,0.38,16.06,10.45,2.36,79.5,37.5,11.3,8.4,8.1,15.8,33651,323.698,0
NY,36,36101,Steuben County,"Steuben County, New York",COVID,2022-2023,2022,4348.9,,4348.949999999999,,167.75,50.0,,,,2.0,10.048,67.3,42.8,19.97,2.35,62506,13.24,6.31,0.4,18.37,6.94,3.29,79.3,36.1,10.9,7.6,7.7,14.9,93584,1390.508,0
NY,36,36103,Suffolk County,"Suffolk County, New York",COVID,2022-2023,2022,7963.2,,7963.150000000001,,314.98,50.0,,,,36.0,14.968,1673.56,41.7,17.28,2.93,122498,6.38,4.76,5.3,27.32,27.07,15.98,78.3,29.8,10.0,5.7,6.6,10.6,1524486,910.922,1
NY,36,36105,Sullivan County,"Sullivan County, New York",COVID,2022-2023,2022,7144.1,,7144.13,,261.16,50.0,,,,12.0,11.125999999999998,81.32,41.9,18.93,2.47,67841,14.24,7.2,1.1,19.6,25.36,10.51,78.9,34.9,12.8,8.0,8.0,15.1,78725,968.145,1
NY,36,36107,Tioga County,"Tioga County, New York",COVID,2022-2023,2022,4898.0,,4898.0199999999995,,184.64,50.0,,,,14.0,14.51,93.19,44.7,20.85,2.35,70427,10.03,5.59,0.24,18.91,5.55,2.01,79.5,35.5,11.0,7.6,8.0,14.0,48344,518.767,0
NY,36,36109,Tompkins County,"Tompkins County, New York",COVID,2022-2023,2022,5207.5,,5207.4800000000005,,216.28,50.0,,,,0.0,6.954,216.07,32.6,15.68,2.06,69995,13.88,4.69,6.05,34.28,21.82,12.96,77.3,29.6,7.7,5.0,5.4,11.0,102555,474.642,0
NY,36,36111,Ulster County,"Ulster County, New York",COVID,2022-2023,2022,5196.2,,5196.2,,188.65,50.0,,,,4.0,10.767999999999995,162.02,44.2,20.46,2.34,77197,14.13,5.05,2.29,26.2,21.78,7.76,79.5,31.7,10.8,7.2,7.2,13.3,182153,1124.236,0
NY,36,36113,Warren County,"Warren County, New York",COVID,2022-2023,2022,6272.7,,6272.7,,256.47,50.0,,,,6.0,8.016,75.74,46.7,23.03,2.17,74531,8.54,4.2,0.73,25.39,6.56,3.47,79.8,34.7,11.0,8.6,8.0,17.0,65684,867.222,1
NY,36,36115,Washington County,"Washington County, New York",COVID,2022-2023,2022,4823.2,,4823.21,,200.97,50.0,,,,2.0,8.016,73.76,44.6,20.41,2.41,68703,10.83,5.13,0.38,15.6,7.94,2.84,79.4,36.1,11.3,8.1,7.9,15.1,61310,831.19,0
NY,36,36117,Wayne County,"Wayne County, New York",COVID,2022-2023,2022,4131.6,,4131.55,,161.26,50.0,,,,4.0,12.182000000000002,151.24,43.6,19.72,2.37,71007,10.9,4.29,0.28,17.86,10.22,2.63,79.6,37.2,10.8,7.3,7.4,14.4,91324,603.83,0
NY,36,36119,Westchester County,"Westchester County, New York",COVID,2022-2023,2022,6995.8,,6995.829999999999,,286.1,50.0,,,,22.0,10.767999999999995,2316.31,41.3,17.48,2.64,114651,8.36,6.04,18.6,36.05,42.69,25.58,78.9,26.7,9.8,5.3,6.2,9.4,997904,430.817,1
NY,36,36121,Wyoming County,"Wyoming County, New York",COVID,2022-2023,2022,3121.0,,3120.97,,170.6,50.0,,,,0.0,11.914,68.05,42.9,19.13,2.34,65066,10.01,4.08,0.63,13.33,10.19,2.19,78.8,35.8,10.8,7.6,7.6,16.3,40338,592.752,0
NY,36,36123,Yates County,"Yates County, New York",COVID,2022-2023,2022,3022.6,,3022.55,,176.61,50.0,,,,4.0,12.182000000000002,73.09,41.7,21.48,2.64,63974,13.54,3.23,0.02,16.29,4.17,1.58,79.0,35.0,12.0,9.4,8.8,17.2,24713,338.139,0
PA,42,42001,Adams County,"Adams County, Pennsylvania",COVID,2022-2023,2022,6239.2,,6239.24,,240.76,48.0,,,,0.0,5.291999999999999,201.67,43.8,20.89,2.51,78975,7.56,3.4,0.22,17.14,8.46,3.38,79.4,36.5,10.9,7.7,7.6,15.7,104604,518.69,1
PA,42,42003,Allegheny County,"Allegheny County, Pennsylvania",COVID,2022-2023,2022,5257.7,,5257.7,,270.88,48.0,,,,6.0,7.949999999999999,1706.01,40.6,19.47,2.22,72537,10.81,4.95,6.87,31.78,22.18,6.19,78.2,31.7,11.0,7.2,7.1,14.7,1245310,729.953,0
PA,42,42005,Armstrong County,"Armstrong County, Pennsylvania",COVID,2022-2023,2022,4540.1,,4540.07,,211.63,48.0,,,,4.0,7.949999999999999,100.32,47.0,22.88,2.33,61011,10.26,5.08,0.3,13.79,3.7,0.61,78.8,37.9,12.3,9.8,8.8,19.6,65538,653.321,0
PA,42,42007,Beaver County,"Beaver County, Pennsylvania",COVID,2022-2023,2022,5081.4,,5081.41,,232.42,48.0,,,,4.0,7.949999999999999,385.62,44.9,21.97,2.29,67194,10.26,5.6,1.58,19.66,11.39,2.11,79.5,37.4,11.8,8.4,8.2,15.5,167629,434.695,0
PA,42,42009,Bedford County,"Bedford County, Pennsylvania",COVID,2022-2023,2022,3646.0,,3646.01,,210.91,48.0,,,,0.0,7.552,47.04,47.3,23.01,2.41,58337,10.65,4.27,0.62,11.8,3.49,1.02,79.3,34.9,12.6,9.9,9.5,18.2,47613,1012.244,0
PA,42,42011,Berks County,"Berks County, Pennsylvania",COVID,2022-2023,2022,5268.3,,5268.250000000001,,189.24,48.0,,,,0.0,6.741999999999999,500.33,39.9,17.54,2.58,74617,11.46,5.38,1.21,18.29,24.64,8.13,79.0,34.8,11.5,7.5,7.6,14.8,428483,856.403,0
PA,42,42013,Blair County,"Blair County, Pennsylvania",COVID,2022-2023,2022,4233.0,,4233.0,,223.26,48.0,,,,0.0,7.552,233.47,42.9,20.89,2.35,59386,12.83,4.18,0.74,16.7,6.0,1.22,78.7,36.0,12.7,10.2,9.2,19.2,122640,525.291,0
PA,42,42015,Bradford County,"Bradford County, Pennsylvania",COVID,2022-2023,2022,7058.6,,7058.650000000001,,280.16,48.0,,,,26.0,14.51,52.43,43.9,21.74,2.44,60650,12.98,4.79,0.11,14.16,4.55,1.96,79.9,34.7,12.2,9.0,8.9,16.1,60159,1147.376,1
PA,42,42017,Bucks County,"Bucks County, Pennsylvania",COVID,2022-2023,2022,4469.6,,4469.56,,174.13,48.0,,,,0.0,10.657999999999998,1067.5,44.0,19.46,2.58,107826,5.55,4.64,2.29,31.15,16.23,10.16,78.4,30.4,11.1,7.6,7.4,15.5,645163,604.367,0
PA,42,42019,Butler County,"Butler County, Pennsylvania",COVID,2022-2023,2022,5221.1,,5221.089999999999,,231.56,48.0,,,,8.0,7.949999999999999,246.44,43.4,19.65,2.38,82932,7.67,4.65,0.42,27.5,5.55,2.25,80.0,32.3,9.7,6.2,6.7,12.2,194562,789.486,0
PA,42,42021,Cambria County,"Cambria County, Pennsylvania",COVID,2022-2023,2022,6549.5,,6549.509999999999,,280.36,48.0,,,,4.0,7.552,193.83,45.6,23.12,2.28,54221,13.69,4.95,0.98,16.31,7.78,1.03,79.9,36.6,12.6,9.7,9.1,18.1,133263,687.51,1
PA,42,42023,Cameron County,"Cameron County, Pennsylvania",COVID,2022-2023,2022,4722.3,,4722.289999999999,,292.33,43.0,,,,2.0,7.990000000000001,11.45,51.8,27.98,2.03,46186,14.86,7.13,0.0,8.33,4.96,0.73,81.3,37.9,15.4,12.3,11.5,20.8,4536,396.233,0
